0.01	0.000200054
0.02	0.000796267
0.03	0.00178964
0.04	0.00316738
0.05	0.00492986
0.06	0.00708168
0.07	0.00961051
0.08	0.0125184
0.09	0.015792
0.1	0.0194224
0.11	0.0234015
0.12	0.0277771
0.13	0.0325081
0.14	0.0376177
0.15	0.0430899
0.16	0.0489035
0.19	0.0683185
0.23	0.098762
0.27	0.133904
0.32	0.183918
0.39	0.265277
0.47	0.374975
0.56	0.518368
0.67	0.719913
0.8	0.990224
0.96	1.36845
1.15	1.85586
1.38	2.51019
1.65	3.36022
1.98	4.48185
2.38	5.92487
2.85	7.76505
3.42	10.0905
4.11	12.8942
4.93	16.2576
5.91	20.776
7.09	26.7233
8.51	33.0647
10.21	41.1333
12.25	50.4127
14.7	59.4848
17.64	71.6937
21.17	86.2561
25.4	104.363
30.48	121.072
36.58	144.074
43.89	175.368
52.67	209.535
63.2	257.534
75.84	299.234
91.01	358.708
