0	0	0
0.01	0.00131966	0.000325259
0.02	-0.000227192	-0.00187539
0.03	-0.00319336	-0.00438001
0.04	-0.00466448	-0.00616022
0.05	-0.00498003	-0.00992451
0.06	-0.00419908	-0.0153122
0.07	-0.00417094	-0.0201049
0.08	-0.00515388	-0.0244895
0.09	-0.00470321	-0.0276786
0.1	-0.00476541	-0.0297147
0.11	-0.00470239	-0.0302787
0.12	-0.00593256	-0.0307888
0.13	-0.00963364	-0.0305446
0.14	-0.0119181	-0.0302651
0.15	-0.014271	-0.0288457
0.16	-0.0165963	-0.0277767
0.19	-0.0199752	-0.023936
0.23	-0.0147024	-0.0290375
0.27	-0.0220254	-0.0349627
0.32	-0.0388263	-0.0599687
0.39	-0.0808104	-0.107525
0.47	-0.163265	-0.165386
0.56	-0.276807	-0.203497
0.67	-0.389514	-0.231974
0.8	-0.465727	-0.276745
0.96	-0.5187	-0.389415
1.15	-0.626524	-0.560588
1.38	-0.777482	-0.899545
1.65	-0.892661	-1.19666
1.98	-1.01129	-1.61472
2.38	-1.00998	-1.85209
2.85	-0.45031	-2.51831
3.42	0.502809	-2.79507
4.11	1.86172	-3.03967
4.93	2.1207	-3.8936
5.91	2.6113	-5.00685
7.09	2.51164	-6.18346
8.51	2.27906	-6.39806
10.21	3.35194	-5.63427
12.25	4.26351	-5.46728
14.7	2.62256	-8.3357
17.64	1.75825	-7.92086
21.17	2.37271	-7.33114
25.4	5.37962	-9.02736
30.48	0.238834	-11.5294
36.58	-1.36879	-9.08038
43.89	-1.14449	-3.91239
52.67	-0.214112	-6.27514
63.2	2.48547	-4.32574
75.84	6.73097	1.48425
91.01	8.47542	-1.64921
0	6.4292	2.24168
0.01	6.4254	2.24144
0.02	6.42164	2.24253
0.03	6.41968	2.24513
0.04	6.41697	2.24652
0.05	6.41463	2.24754
0.06	6.41404	2.24812
0.07	6.41523	2.24671
0.08	6.41692	2.24782
0.09	6.41799	2.248
0.1	6.41986	2.24729
0.11	6.42183	2.24492
0.12	6.4247	2.24453
0.13	6.42736	2.24392
0.14	6.42822	2.2431
0.15	6.42905	2.24255
0.16	6.43094	2.24318
0.19	6.43963	2.2415
0.23	6.45044	2.23543
0.27	6.46473	2.21414
0.32	6.46904	2.19883
0.39	6.47209	2.19907
0.47	6.49018	2.18573
0.56	6.5149	2.1374
0.67	6.61378	2.06092
0.8	6.83578	1.9906
0.96	7.06268	1.83603
1.15	7.19162	1.67485
1.38	7.43241	1.4942
1.65	7.46265	1.28911
1.98	7.44838	0.95697
2.38	7.29127	0.543119
2.85	7.40216	0.196851
3.42	7.36709	-0.521328
4.11	6.34656	-1.77578
4.93	6.18296	-3.91181
5.91	6.28999	-6.0502
7.09	6.21196	-7.14578
8.51	6.42105	-7.54658
10.21	8.15767	-7.61669
12.25	9.07852	-7.58509
14.7	9.07074	-7.10612
17.64	11.0087	-5.47958
21.17	11.1763	-4.39006
25.4	11.5993	-2.81047
30.48	12.859	-5.32158
36.58	14.2045	-6.57688
43.89	14.6534	-2.19467
52.67	17.5933	1.83848
63.2	14.3618	4.07572
75.84	16.1871	0.150936
91.01	14.5082	0.516375
0	25.6948	0.660248
0.01	25.7032	0.6537
0.02	25.7113	0.648588
